application_id,channel,region,annual_income_k,requested_amount_k,bureau_score,dti_ratio,utilization_rate,delinquency_12m,inquiries_6m,employment_tenure_mo,recent_cash_buffer_mo,thin_file_flag,target_default,pd_estimate,score,decision,reason_1,reason_2,reason_3
APP-00023,branch,northeast,109.22,31.78,684,0.1738,0.2792,1,0,32.6,6.15,0,1,0.23539,721,approve,RECENT_DELINQUENCY,LOW_BUREAU_SCORE,HIGH_DTI
APP-00024,direct,midwest,100.57,12.23,691,0.3878,0.4696,0,4,46.0,5.94,1,0,0.377676,642,review,RECENT_CREDIT_SEEKING,HIGH_DTI,HIGH_UTILIZATION
APP-00025,branch,northeast,63.4,30.68,757,0.1809,0.6027,0,2,57.8,5.3,0,1,0.171716,756,approve,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING,HIGH_DTI
APP-00026,direct,midwest,87.28,26.93,615,0.6629,0.221,0,0,72.3,4.24,0,0,0.410586,624,review,LOW_BUREAU_SCORE,HIGH_DTI,HIGH_UTILIZATION
APP-00027,broker,south,84.82,27.43,618,0.7012,0.2351,1,5,59.9,5.18,1,1,0.764702,429,decline,LOW_BUREAU_SCORE,HIGH_DTI,RECENT_CREDIT_SEEKING
APP-00028,direct,midwest,97.95,15.2,820,0.4684,0.7807,0,2,42.7,7.35,0,1,0.258994,708,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00029,broker,midwest,97.94,19.35,632,0.389,0.3611,1,0,27.9,5.06,0,1,0.43241,612,decline,LOW_BUREAU_SCORE,RECENT_DELINQUENCY,HIGH_DTI
APP-00030,direct,west,79.89,14.82,696,0.0941,0.4972,1,0,39.3,10.34,0,1,0.223556,727,approve,RECENT_DELINQUENCY,HIGH_UTILIZATION,LOW_BUREAU_SCORE
APP-00031,branch,west,73.84,14.2,750,0.6972,0.3448,0,0,65.6,4.94,0,1,0.207468,736,approve,HIGH_DTI,HIGH_UTILIZATION,
APP-00032,broker,south,53.1,10.31,791,0.181,0.8936,0,1,44.0,6.73,0,0,0.18552,748,approve,HIGH_UTILIZATION,HIGH_DTI,RECENT_CREDIT_SEEKING
APP-00033,direct,west,69.33,15.44,739,0.4239,0.5635,0,2,31.6,4.98,1,1,0.279271,696,approve,HIGH_DTI,HIGH_UTILIZATION,THIN_CREDIT_FILE
APP-00034,branch,west,79.11,14.08,716,0.5489,0.4118,0,3,93.0,6.07,0,0,0.25832,708,approve,HIGH_DTI,RECENT_CREDIT_SEEKING,HIGH_UTILIZATION
APP-00035,broker,south,84.54,23.63,686,0.1191,0.6414,1,1,79.9,7.0,0,0,0.296533,687,approve,RECENT_DELINQUENCY,HIGH_UTILIZATION,LOW_BUREAU_SCORE
APP-00036,direct,west,80.78,17.61,540,0.474,0.8558,0,2,73.0,2.92,0,1,0.717912,455,decline,LOW_BUREAU_SCORE,HIGH_UTILIZATION,HIGH_DTI
APP-00037,broker,midwest,83.01,13.4,670,0.4556,0.7156,0,2,45.7,1.44,1,1,0.436556,610,decline,HIGH_DTI,HIGH_UTILIZATION,LOW_BUREAU_SCORE
APP-00038,direct,west,103.45,17.66,622,0.4115,0.368,1,1,53.1,8.24,1,1,0.581785,530,decline,LOW_BUREAU_SCORE,HIGH_DTI,RECENT_DELINQUENCY
APP-00039,branch,northeast,107.48,27.99,728,0.438,0.8512,1,2,79.7,6.41,0,1,0.375743,643,review,HIGH_UTILIZATION,HIGH_DTI,RECENT_DELINQUENCY
APP-00040,broker,west,102.87,25.29,690,0.3454,0.6039,0,1,51.7,5.57,0,0,0.238275,719,approve,HIGH_UTILIZATION,HIGH_DTI,LOW_BUREAU_SCORE
APP-00041,direct,northeast,112.55,25.77,606,0.5278,0.4297,0,3,41.3,4.37,1,1,0.606857,516,decline,LOW_BUREAU_SCORE,HIGH_DTI,RECENT_CREDIT_SEEKING
APP-00042,broker,south,70.84,19.72,691,0.4912,0.8938,1,0,43.3,3.42,0,1,0.412356,623,review,HIGH_UTILIZATION,HIGH_DTI,RECENT_DELINQUENCY
APP-00043,branch,northeast,139.26,24.71,750,0.4091,0.3205,0,1,45.9,5.8,0,0,0.165893,759,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00044,direct,northeast,143.27,14.75,768,0.5659,0.7008,0,2,34.6,7.54,0,0,0.27248,700,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00045,direct,northeast,81.43,12.3,779,0.3124,0.6725,1,1,49.7,6.33,0,1,0.280182,696,approve,RECENT_DELINQUENCY,HIGH_UTILIZATION,HIGH_DTI
APP-00046,branch,northeast,53.04,20.62,696,0.5164,0.9226,0,1,42.7,3.78,0,1,0.320468,674,approve,HIGH_UTILIZATION,HIGH_DTI,LOW_BUREAU_SCORE
APP-00047,direct,northeast,102.7,15.02,700,0.1613,0.6985,0,1,77.2,7.21,0,0,0.191131,745,approve,HIGH_UTILIZATION,HIGH_DTI,LOW_BUREAU_SCORE
APP-00048,branch,northeast,101.26,16.7,723,0.3113,0.693,0,1,30.2,3.28,0,0,0.188582,746,approve,HIGH_UTILIZATION,HIGH_DTI,RECENT_CREDIT_SEEKING
APP-00049,branch,south,93.48,26.27,599,0.2528,0.8956,0,2,26.8,4.43,1,0,0.591225,525,decline,LOW_BUREAU_SCORE,HIGH_UTILIZATION,HIGH_DTI
APP-00050,broker,midwest,102.12,16.24,748,0.3189,0.3392,0,1,47.6,4.38,0,1,0.151679,767,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00051,direct,south,54.45,14.9,658,0.172,0.6933,1,3,57.2,4.19,1,1,0.533862,556,decline,LOW_BUREAU_SCORE,HIGH_UTILIZATION,RECENT_DELINQUENCY
APP-00052,branch,midwest,34.24,14.07,715,0.3873,0.8565,0,2,49.5,3.81,0,0,0.259575,707,approve,HIGH_UTILIZATION,HIGH_DTI,RECENT_CREDIT_SEEKING
APP-00053,broker,midwest,76.4,12.61,735,0.2238,0.4381,0,3,51.6,3.19,0,0,0.180528,751,approve,RECENT_CREDIT_SEEKING,HIGH_UTILIZATION,HIGH_DTI
APP-00054,branch,west,46.49,21.03,753,0.6867,0.2057,1,0,65.7,4.79,0,0,0.282634,695,approve,HIGH_DTI,RECENT_DELINQUENCY,HIGH_UTILIZATION
APP-00055,broker,west,73.48,13.45,693,0.1515,0.3725,0,1,56.0,5.32,0,0,0.163534,760,approve,LOW_BUREAU_SCORE,HIGH_UTILIZATION,HIGH_DTI
APP-00056,broker,midwest,91.45,18.89,744,0.4756,0.531,0,3,80.1,6.53,0,0,0.249024,713,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00057,broker,northeast,102.99,33.16,756,0.4688,0.6719,0,1,67.4,2.6,0,0,0.22021,729,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00058,direct,midwest,49.87,34.29,691,0.6635,0.6704,1,0,23.6,5.48,0,0,0.427424,615,review,HIGH_DTI,RECENT_DELINQUENCY,HIGH_UTILIZATION
APP-00059,broker,northeast,82.33,19.67,567,0.547,0.5573,0,0,50.1,2.98,0,0,0.563186,540,decline,LOW_BUREAU_SCORE,HIGH_DTI,HIGH_UTILIZATION
APP-00060,direct,midwest,82.32,8.62,766,0.319,0.4641,0,3,30.1,5.03,0,1,0.203399,738,approve,HIGH_DTI,RECENT_CREDIT_SEEKING,HIGH_UTILIZATION
APP-00061,direct,midwest,107.93,16.5,676,0.1288,0.6826,0,2,56.3,6.25,0,0,0.24741,714,approve,HIGH_UTILIZATION,LOW_BUREAU_SCORE,RECENT_CREDIT_SEEKING
APP-00062,direct,midwest,60.71,19.51,807,0.4819,0.6537,0,3,34.6,4.54,1,1,0.338294,664,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00063,direct,midwest,93.48,12.54,704,0.4397,0.6123,0,1,25.8,5.05,0,1,0.235292,721,approve,HIGH_DTI,HIGH_UTILIZATION,LOW_BUREAU_SCORE
APP-00064,direct,west,124.97,7.41,608,0.3309,0.4837,1,0,53.2,5.27,0,1,0.50013,575,decline,LOW_BUREAU_SCORE,RECENT_DELINQUENCY,HIGH_DTI
APP-00065,branch,south,63.31,10.88,593,0.4761,0.1444,0,1,57.1,4.05,0,0,0.42405,617,review,LOW_BUREAU_SCORE,HIGH_DTI,RECENT_CREDIT_SEEKING
APP-00066,direct,south,92.45,20.17,722,0.1746,0.2971,0,1,63.2,8.89,0,0,0.124851,781,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00067,direct,northeast,80.02,19.47,767,0.2681,0.2996,0,0,61.9,6.85,0,1,0.124547,781,approve,HIGH_DTI,HIGH_UTILIZATION,
APP-00068,branch,south,81.31,16.78,704,0.683,0.6267,0,1,73.3,7.07,0,0,0.301208,684,approve,HIGH_DTI,HIGH_UTILIZATION,LOW_BUREAU_SCORE
APP-00069,branch,northeast,78.09,12.28,711,0.546,0.4816,0,2,49.1,7.38,0,0,0.253217,711,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00070,branch,northeast,84.61,23.58,667,0.4149,0.7846,1,0,61.6,4.46,1,0,0.511358,569,decline,HIGH_UTILIZATION,LOW_BUREAU_SCORE,HIGH_DTI
APP-00071,branch,south,67.4,12.95,704,0.6824,0.5367,0,2,64.3,5.2,0,0,0.313963,677,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00072,broker,south,91.72,22.76,659,0.5339,0.7315,0,2,22.3,4.11,1,0,0.498024,576,decline,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00073,direct,northeast,79.81,13.96,663,0.3599,0.5367,0,1,12.6,5.89,0,0,0.305557,682,approve,LOW_BUREAU_SCORE,HIGH_DTI,HIGH_UTILIZATION
APP-00074,direct,south,61.21,25.26,709,0.7067,0.3825,1,0,2.1,2.14,1,0,0.460852,597,decline,HIGH_DTI,RECENT_DELINQUENCY,THIN_CREDIT_FILE
APP-00075,direct,midwest,99.66,5.01,724,0.4534,0.6889,0,2,69.6,6.78,0,0,0.241955,717,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00076,broker,south,105.02,9.5,764,0.5374,0.5423,0,0,54.9,3.62,0,0,0.197449,741,approve,HIGH_DTI,HIGH_UTILIZATION,
APP-00077,broker,west,24.0,33.7,611,0.2514,0.3372,2,3,103.1,2.04,1,1,0.730899,448,decline,LOW_BUREAU_SCORE,RECENT_DELINQUENCY,RECENT_CREDIT_SEEKING
APP-00078,direct,midwest,87.5,9.91,708,0.5456,0.6531,0,3,2.8,4.96,1,1,0.4258,616,review,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00079,broker,northeast,73.17,14.28,748,0.2748,0.5752,0,0,48.6,8.07,0,0,0.150733,767,approve,HIGH_UTILIZATION,HIGH_DTI,
APP-00080,direct,midwest,28.76,20.13,656,0.5038,0.8159,1,4,24.4,2.02,1,1,0.695509,467,decline,LOW_BUREAU_SCORE,HIGH_DTI,HIGH_UTILIZATION
APP-00081,branch,west,120.25,16.44,760,0.06,0.4296,0,1,84.4,5.83,0,1,0.119328,784,approve,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING,HIGH_DTI
APP-00082,broker,northeast,94.08,21.09,719,0.2728,0.5594,1,3,49.9,5.37,0,1,0.307242,681,approve,RECENT_DELINQUENCY,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00083,broker,northeast,86.84,22.6,743,0.0963,0.4572,0,1,14.4,4.93,0,0,0.135063,776,approve,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING,HIGH_DTI
APP-00084,branch,northeast,149.34,9.0,651,0.3662,0.2549,1,2,54.4,7.69,0,0,0.418966,620,review,LOW_BUREAU_SCORE,RECENT_DELINQUENCY,HIGH_DTI
APP-00085,direct,northeast,63.03,11.3,713,0.2449,0.346,0,2,29.8,4.37,0,0,0.166485,758,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00086,direct,west,45.72,11.84,687,0.2748,0.3949,1,1,37.4,5.94,0,0,0.29824,686,approve,RECENT_DELINQUENCY,HIGH_DTI,LOW_BUREAU_SCORE
APP-00087,branch,west,106.75,31.4,678,0.3712,0.6589,0,0,61.9,6.43,0,1,0.252139,711,approve,HIGH_UTILIZATION,HIGH_DTI,LOW_BUREAU_SCORE
APP-00088,direct,northeast,61.67,26.33,620,0.2728,0.4681,1,4,28.8,2.49,1,1,0.653091,491,decline,LOW_BUREAU_SCORE,RECENT_DELINQUENCY,RECENT_CREDIT_SEEKING
APP-00089,branch,west,83.07,21.49,660,0.4864,0.8385,0,1,44.8,2.88,1,0,0.464416,595,decline,HIGH_DTI,HIGH_UTILIZATION,LOW_BUREAU_SCORE
APP-00090,branch,northeast,47.21,18.0,562,0.1389,0.6735,0,4,45.3,3.47,1,1,0.6682,482,decline,LOW_BUREAU_SCORE,RECENT_CREDIT_SEEKING,HIGH_UTILIZATION
APP-00091,broker,south,79.75,13.78,702,0.2024,0.1922,1,1,61.3,8.61,0,0,0.219464,729,approve,RECENT_DELINQUENCY,HIGH_DTI,LOW_BUREAU_SCORE
APP-00092,branch,midwest,55.26,15.46,717,0.5355,0.4942,2,3,44.4,5.77,1,1,0.591484,525,decline,RECENT_DELINQUENCY,HIGH_DTI,RECENT_CREDIT_SEEKING
APP-00093,branch,west,72.11,15.71,696,0.3564,0.9238,2,1,15.2,4.64,0,0,0.540139,553,decline,RECENT_DELINQUENCY,HIGH_UTILIZATION,HIGH_DTI
APP-00094,branch,northeast,87.5,11.07,692,0.2476,0.3592,1,2,55.6,3.63,0,0,0.300911,684,approve,RECENT_DELINQUENCY,HIGH_DTI,LOW_BUREAU_SCORE
APP-00095,branch,west,87.12,9.89,742,0.6328,0.8276,0,2,30.5,6.06,0,0,0.31114,679,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00096,direct,midwest,133.62,13.26,720,0.7515,0.1748,0,0,33.1,3.93,1,0,0.255709,709,approve,HIGH_DTI,THIN_CREDIT_FILE,HIGH_UTILIZATION
APP-00097,branch,northeast,107.91,8.73,669,0.4177,0.1423,0,0,65.6,3.3,1,1,0.269589,702,approve,HIGH_DTI,LOW_BUREAU_SCORE,THIN_CREDIT_FILE
APP-00098,direct,south,115.86,20.46,639,0.506,0.9777,0,1,33.6,0.2,1,0,0.553512,546,decline,LOW_BUREAU_SCORE,HIGH_UTILIZATION,HIGH_DTI
APP-00099,branch,south,120.94,17.77,636,0.5414,0.2822,1,1,12.5,5.25,1,1,0.592671,524,decline,LOW_BUREAU_SCORE,HIGH_DTI,RECENT_DELINQUENCY
APP-00100,direct,south,139.03,23.83,760,0.3251,0.758,0,0,71.3,7.6,0,0,0.179358,751,approve,HIGH_UTILIZATION,HIGH_DTI,
APP-00101,branch,south,42.38,18.54,662,0.5718,0.4569,2,1,80.8,7.29,0,1,0.595486,522,decline,RECENT_DELINQUENCY,HIGH_DTI,LOW_BUREAU_SCORE
APP-00102,direct,west,112.35,23.75,657,0.1627,0.7413,0,2,67.4,6.41,0,1,0.305938,682,approve,LOW_BUREAU_SCORE,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00103,direct,northeast,92.02,17.87,659,0.3009,0.5998,0,1,94.0,4.04,0,1,0.290227,690,approve,LOW_BUREAU_SCORE,HIGH_UTILIZATION,HIGH_DTI
APP-00104,branch,west,127.63,17.44,625,0.6935,0.588,1,3,56.5,3.66,0,1,0.684684,473,decline,LOW_BUREAU_SCORE,HIGH_DTI,RECENT_DELINQUENCY
APP-00105,branch,west,95.54,15.88,705,0.4455,0.4507,0,4,28.5,1.77,1,1,0.357555,653,approve,HIGH_DTI,RECENT_CREDIT_SEEKING,HIGH_UTILIZATION
APP-00106,direct,northeast,27.27,10.74,643,0.4287,0.5743,0,1,18.1,4.0,0,1,0.371042,646,review,LOW_BUREAU_SCORE,HIGH_DTI,HIGH_UTILIZATION
APP-00107,broker,west,134.5,23.35,752,0.1835,0.5537,0,3,31.6,4.66,0,0,0.185766,748,approve,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING,HIGH_DTI
APP-00108,branch,west,66.55,17.84,669,0.2932,0.4218,0,4,74.6,8.45,0,0,0.31901,675,approve,LOW_BUREAU_SCORE,RECENT_CREDIT_SEEKING,HIGH_DTI
APP-00109,branch,west,92.33,29.31,710,0.1227,0.5199,1,4,22.5,1.91,0,1,0.308457,680,approve,RECENT_DELINQUENCY,RECENT_CREDIT_SEEKING,HIGH_UTILIZATION
APP-00110,direct,midwest,84.39,24.24,737,0.1435,0.3133,0,0,32.3,5.46,0,0,0.10847,790,approve,HIGH_UTILIZATION,HIGH_DTI,
APP-00111,branch,south,80.23,8.9,721,0.3694,0.7951,1,0,18.7,3.88,0,0,0.296707,687,approve,HIGH_UTILIZATION,RECENT_DELINQUENCY,HIGH_DTI
APP-00112,broker,west,70.76,13.9,689,0.7771,0.4852,1,1,57.6,7.05,1,0,0.548741,548,decline,HIGH_DTI,RECENT_DELINQUENCY,HIGH_UTILIZATION
APP-00113,direct,midwest,130.55,21.65,700,0.4395,0.3077,0,2,36.8,4.85,1,1,0.286835,692,approve,HIGH_DTI,THIN_CREDIT_FILE,RECENT_CREDIT_SEEKING
APP-00114,branch,northeast,110.13,4.94,686,0.5052,0.4206,0,2,43.9,7.51,0,1,0.285671,693,approve,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00115,branch,midwest,76.74,3.0,697,0.1935,0.8346,0,2,84.7,2.49,0,0,0.243657,716,approve,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING,HIGH_DTI
APP-00116,branch,northeast,88.86,25.27,626,0.3368,0.1185,0,0,52.2,2.56,1,0,0.339667,663,approve,LOW_BUREAU_SCORE,HIGH_DTI,THIN_CREDIT_FILE
APP-00117,branch,west,100.56,16.25,672,0.3994,0.2032,1,1,37.3,4.91,0,0,0.337079,665,approve,HIGH_DTI,RECENT_DELINQUENCY,LOW_BUREAU_SCORE
APP-00118,branch,south,91.35,15.92,612,0.239,0.2901,0,2,47.5,5.83,1,1,0.43675,610,decline,LOW_BUREAU_SCORE,THIN_CREDIT_FILE,HIGH_DTI
APP-00119,branch,midwest,82.8,8.53,618,0.6811,0.5797,1,1,68.0,3.42,1,1,0.710341,459,decline,LOW_BUREAU_SCORE,HIGH_DTI,RECENT_DELINQUENCY
APP-00120,broker,south,57.14,21.47,645,0.6171,0.4744,0,0,45.6,4.74,1,1,0.445765,605,decline,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00121,branch,midwest,85.19,21.11,761,0.5821,0.7405,1,0,37.5,6.58,0,1,0.340784,663,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_DELINQUENCY
APP-00122,branch,south,47.72,20.71,634,0.4896,0.747,1,6,5.5,4.08,1,1,0.800167,410,decline,LOW_BUREAU_SCORE,RECENT_CREDIT_SEEKING,HIGH_DTI
APP-00123,direct,west,129.82,13.2,618,0.2465,0.7035,2,1,30.5,5.26,1,1,0.719101,454,decline,LOW_BUREAU_SCORE,RECENT_DELINQUENCY,HIGH_UTILIZATION
APP-00124,broker,midwest,62.77,21.76,659,0.3416,0.7089,0,2,42.5,1.54,1,1,0.4266,615,review,LOW_BUREAU_SCORE,HIGH_UTILIZATION,HIGH_DTI
APP-00125,direct,northeast,63.75,24.23,708,0.6217,0.094,0,0,69.1,7.8,0,0,0.181452,750,approve,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00126,branch,midwest,92.52,15.82,724,0.2743,0.9173,0,2,39.4,5.92,0,1,0.230389,723,approve,HIGH_UTILIZATION,HIGH_DTI,RECENT_CREDIT_SEEKING
APP-00127,branch,west,113.51,12.94,683,0.265,0.5786,1,3,70.4,4.97,0,1,0.39539,633,review,RECENT_DELINQUENCY,HIGH_UTILIZATION,LOW_BUREAU_SCORE
APP-00128,direct,northeast,59.89,13.23,772,0.6632,0.653,1,1,29.6,5.37,0,0,0.380247,641,review,HIGH_DTI,RECENT_DELINQUENCY,HIGH_UTILIZATION
APP-00129,branch,northeast,80.23,14.5,643,0.562,0.4337,0,2,36.6,5.41,0,0,0.408145,626,review,LOW_BUREAU_SCORE,HIGH_DTI,HIGH_UTILIZATION
APP-00130,branch,south,85.03,19.97,640,0.3042,0.7596,1,1,50.2,3.91,0,0,0.491464,580,decline,LOW_BUREAU_SCORE,HIGH_UTILIZATION,RECENT_DELINQUENCY
APP-00131,direct,west,160.58,8.42,719,0.5903,0.4398,0,4,52.7,4.0,0,0,0.293243,689,approve,HIGH_DTI,RECENT_CREDIT_SEEKING,HIGH_UTILIZATION
APP-00132,branch,south,111.64,4.97,734,0.58,0.7718,0,2,21.3,4.63,1,0,0.363949,650,review,HIGH_DTI,HIGH_UTILIZATION,THIN_CREDIT_FILE
APP-00133,broker,midwest,113.17,8.26,708,0.1643,0.8252,1,0,76.8,2.86,0,1,0.263776,705,approve,HIGH_UTILIZATION,RECENT_DELINQUENCY,HIGH_DTI
APP-00134,broker,south,36.23,20.44,647,0.1065,0.3466,0,1,25.9,4.69,0,0,0.22763,725,approve,LOW_BUREAU_SCORE,HIGH_UTILIZATION,HIGH_DTI
APP-00135,direct,south,142.55,19.9,663,0.2171,0.7819,0,2,23.1,9.5,0,1,0.315988,676,approve,LOW_BUREAU_SCORE,HIGH_UTILIZATION,HIGH_DTI
APP-00136,broker,northeast,78.44,21.36,620,0.4001,0.828,0,2,58.5,4.09,0,1,0.490091,580,decline,LOW_BUREAU_SCORE,HIGH_UTILIZATION,HIGH_DTI
APP-00137,branch,northeast,80.1,24.98,672,0.5307,0.579,0,0,63.3,6.08,0,0,0.29504,688,approve,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00138,direct,west,94.48,17.27,719,0.4896,0.2424,0,3,58.6,5.28,0,0,0.214734,732,approve,HIGH_DTI,RECENT_CREDIT_SEEKING,HIGH_UTILIZATION
APP-00139,broker,northeast,59.86,22.19,764,0.2693,0.4773,0,2,66.7,2.67,0,0,0.174853,754,approve,HIGH_UTILIZATION,HIGH_DTI,RECENT_CREDIT_SEEKING
APP-00140,branch,south,79.77,24.35,669,0.6575,0.2982,0,1,26.2,7.91,0,0,0.31966,674,approve,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00141,direct,south,104.59,21.94,667,0.4606,0.2406,0,4,15.6,2.43,1,1,0.43556,610,decline,HIGH_DTI,LOW_BUREAU_SCORE,RECENT_CREDIT_SEEKING
APP-00142,broker,midwest,165.57,8.33,760,0.4253,0.5694,0,3,29.6,2.85,0,1,0.242016,717,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
