loan_id,segment_id,segment_name,current_balance,orig_balance,remaining_term_quarters,risk_rating,fico,ltv_ratio,dti_ratio,dscr,utilization_rate,payment_shock_index,delinquency_flag,collateral_buffer,region
RRB-00015,commercial_real_estate,Commercial Real Estate,837833.9,1135824.54,19,4,762,0.6796,0.3083,1.378,0.2379,0.1874,0,0.9954,Mountain
RRB-00016,commercial_real_estate,Commercial Real Estate,1008699.67,1376580.65,13,7,756,0.762,0.2982,1.5573,0.7238,0.0218,0,1.1301,Northeast
RRB-00017,commercial_real_estate,Commercial Real Estate,1303580.75,1650806.12,14,6,671,0.5685,0.3557,1.4566,0.2329,0.2394,0,0.8128,Midwest
RRB-00018,commercial_real_estate,Commercial Real Estate,1582999.9,2096730.44,6,4,682,0.5846,0.3543,1.0529,0.2544,0.1992,0,0.7832,Southeast
RRB-00019,commercial_real_estate,Commercial Real Estate,1468267.14,1663907.95,17,8,661,0.6118,0.3529,1.6426,0.225,0.1636,0,1.0579,Southeast
RRB-00020,commercial_real_estate,Commercial Real Estate,1698273.69,2142065.92,14,7,746,0.5618,0.3136,1.592,0.6565,0.0503,0,0.875,Northeast
RRB-00021,commercial_real_estate,Commercial Real Estate,285523.84,370058.59,20,4,696,0.6144,0.2449,1.2207,0.265,0.1064,1,1.0226,Southeast
RRB-00022,commercial_real_estate,Commercial Real Estate,1525801.44,1832646.89,20,5,675,0.5253,0.4349,1.3738,0.6725,0.0812,0,0.9408,Mountain
RRB-00023,commercial_real_estate,Commercial Real Estate,1307021.97,1658252.76,6,8,647,0.6578,0.3905,1.6343,0.7234,0.1017,0,0.7547,Midwest
RRB-00024,commercial_real_estate,Commercial Real Estate,1910114.98,2704444.08,16,8,704,0.8011,0.2934,1.4708,0.6092,0.0872,0,0.8529,Midwest
RRB-00025,commercial_real_estate,Commercial Real Estate,2081107.03,2530308.03,9,5,710,0.523,0.2132,1.3836,0.2464,0.0265,1,0.8844,Northeast
RRB-00026,commercial_real_estate,Commercial Real Estate,275005.08,322594.92,8,6,712,0.707,0.2902,1.0976,0.6403,0.0431,0,0.7917,Midwest
RRB-00027,commercial_real_estate,Commercial Real Estate,1865240.18,2287004.63,6,4,733,0.7646,0.2631,1.5799,0.3931,0.0283,0,1.0759,Mountain
RRB-00028,commercial_real_estate,Commercial Real Estate,743981.59,1044726.8,16,6,695,0.7073,0.4514,1.2458,0.3116,0.1401,0,1.0564,Mountain
RRB-00029,commercial_real_estate,Commercial Real Estate,1468180.58,1625597.72,14,8,658,0.6949,0.3321,1.5455,0.5721,0.0591,0,0.7511,Southeast
RRB-00030,commercial_real_estate,Commercial Real Estate,1740615.8,2132209.0,8,3,731,0.5252,0.4509,1.0721,0.4544,0.203,0,0.8587,Southeast
RRB-00031,commercial_real_estate,Commercial Real Estate,1901642.64,2520310.83,9,7,660,0.7857,0.3564,1.4741,0.452,0.1998,0,1.0432,Midwest
RRB-00032,commercial_real_estate,Commercial Real Estate,2084175.69,2434127.34,20,6,759,0.7018,0.2978,1.5393,0.2688,0.0272,0,0.9538,Mountain
RRB-00033,commercial_real_estate,Commercial Real Estate,1487675.62,1866860.14,12,3,655,0.7101,0.3618,1.6378,0.337,0.1914,0,1.0356,Southeast
RRB-00034,commercial_real_estate,Commercial Real Estate,1925456.65,2710482.95,14,4,670,0.6539,0.2171,1.5798,0.5337,0.0783,0,0.8372,Mountain
RRB-00035,commercial_real_estate,Commercial Real Estate,1220512.53,1434429.13,17,3,677,0.8172,0.3429,1.2313,0.4861,0.0709,0,0.8849,Northeast
RRB-00036,commercial_real_estate,Commercial Real Estate,705053.66,866058.07,19,4,672,0.5632,0.1963,1.4196,0.735,0.1041,0,0.8239,Northeast
RRB-00037,commercial_real_estate,Commercial Real Estate,562112.81,603537.05,15,7,671,0.6228,0.1914,1.1,0.6275,0.0222,0,0.8081,Mountain
RRB-00038,commercial_real_estate,Commercial Real Estate,1220861.02,1591549.5,17,5,707,0.6682,0.2358,1.3073,0.4991,0.02,0,0.9069,Southeast
RRB-00039,commercial_real_estate,Commercial Real Estate,1703439.13,1863297.66,12,5,747,0.7854,0.2349,1.2624,0.6507,0.2044,0,0.7538,Southeast
RRB-00040,commercial_real_estate,Commercial Real Estate,1126219.4,1234610.96,20,7,714,0.6064,0.3164,1.1993,0.7373,0.0688,0,0.9486,Northeast
RRB-00041,commercial_real_estate,Commercial Real Estate,1578491.27,2061015.89,16,3,757,0.5842,0.3633,1.2633,0.3979,0.0889,0,0.7543,Northeast
RRB-00042,commercial_real_estate,Commercial Real Estate,494365.13,629735.88,13,3,660,0.5996,0.2065,1.2415,0.4425,0.0555,0,1.0057,Southeast
RRB-00043,commercial_real_estate,Commercial Real Estate,2144836.96,2921162.81,14,7,724,0.7319,0.4504,1.6413,0.4228,0.1905,0,0.8282,Southeast
RRB-00044,commercial_real_estate,Commercial Real Estate,1174102.24,1332554.7,13,6,705,0.7633,0.4731,1.1222,0.7235,0.0559,0,0.937,Midwest
RRB-00045,commercial_real_estate,Commercial Real Estate,1862330.7,1973665.48,12,4,695,0.6513,0.2126,1.1168,0.5006,0.0773,0,1.0416,Midwest
RRB-00046,commercial_real_estate,Commercial Real Estate,1671405.09,2326577.83,6,6,671,0.6924,0.2931,1.2708,0.3862,0.1185,0,0.7998,Northeast
RRB-00047,commercial_real_estate,Commercial Real Estate,1772332.5,2450258.33,18,7,754,0.5991,0.3095,1.2613,0.3774,0.1077,0,0.9486,Midwest
RRB-00048,commercial_real_estate,Commercial Real Estate,997362.43,1202037.99,16,4,657,0.8027,0.1863,1.2281,0.6107,0.1723,0,0.924,Midwest
RRB-00049,commercial_real_estate,Commercial Real Estate,465668.95,520769.17,19,8,735,0.8189,0.3319,1.3742,0.6849,0.2207,0,0.9738,Mountain
RRB-00050,commercial_real_estate,Commercial Real Estate,1137863.84,1490392.23,9,8,739,0.7137,0.3189,1.6107,0.2856,0.1316,0,0.9076,Midwest
RRB-00051,commercial_real_estate,Commercial Real Estate,896024.51,1135615.46,9,5,688,0.7274,0.3378,1.6082,0.2547,0.0522,0,0.9691,Mountain
RRB-00052,commercial_real_estate,Commercial Real Estate,1027339.01,1291906.15,9,8,738,0.5725,0.3204,1.0788,0.693,0.2096,0,0.8693,Southeast
RRB-00053,commercial_real_estate,Commercial Real Estate,2185268.62,2361086.81,10,8,697,0.6872,0.3652,1.4119,0.6596,0.1367,0,1.062,Northeast
RRB-00054,commercial_real_estate,Commercial Real Estate,852603.26,939285.9,14,7,713,0.8257,0.3724,1.5104,0.6832,0.1015,0,0.9506,Mountain
RRB-00055,commercial_real_estate,Commercial Real Estate,1775896.0,2109010.07,17,4,684,0.5203,0.4258,1.6495,0.7022,0.2383,0,0.8216,Southeast
RRB-00056,commercial_real_estate,Commercial Real Estate,574404.54,683206.68,15,6,674,0.7309,0.4199,1.0712,0.4039,0.1154,0,0.956,Midwest
RRB-00057,commercial_real_estate,Commercial Real Estate,1407695.23,1961238.4,20,8,728,0.6584,0.4318,1.5145,0.6091,0.0463,0,1.144,Mountain
RRB-00058,commercial_real_estate,Commercial Real Estate,926082.79,1016478.88,7,3,680,0.6013,0.2609,1.3024,0.6319,0.1705,0,0.9167,Midwest
RRB-00059,commercial_real_estate,Commercial Real Estate,722640.75,982883.94,11,7,690,0.5594,0.2551,1.5777,0.4875,0.0464,0,1.0253,Midwest
RRB-00060,commercial_real_estate,Commercial Real Estate,1015622.22,1123987.85,14,7,665,0.6338,0.4658,1.049,0.5878,0.1593,0,0.9494,Southeast
RRB-00061,commercial_real_estate,Commercial Real Estate,2071939.9,2646807.59,16,6,703,0.8158,0.3074,1.5377,0.3443,0.2221,0,1.0161,Southeast
RRB-00062,commercial_real_estate,Commercial Real Estate,1377800.68,1936207.47,6,3,703,0.6383,0.2225,1.317,0.5497,0.1031,0,0.7711,Midwest
RRB-00063,commercial_real_estate,Commercial Real Estate,1260441.88,1368479.43,11,4,686,0.6627,0.3143,1.146,0.2236,0.1976,0,0.7866,Northeast
RRB-00064,commercial_real_estate,Commercial Real Estate,1817011.95,2533387.44,6,3,704,0.7609,0.3965,1.633,0.2943,0.2274,0,0.9514,Midwest
RRB-00065,commercial_real_estate,Commercial Real Estate,1232225.25,1642836.94,12,5,760,0.54,0.4172,0.995,0.5322,0.1042,0,0.9322,Mountain
RRB-00066,commercial_real_estate,Commercial Real Estate,469615.66,627566.94,14,7,719,0.7265,0.4692,0.9506,0.6915,0.0423,0,0.8204,Southeast
RRB-00067,commercial_real_estate,Commercial Real Estate,505722.36,631045.18,8,6,673,0.74,0.3484,1.4299,0.6945,0.1457,0,1.0852,Southeast
RRB-00068,commercial_real_estate,Commercial Real Estate,1650966.62,1780817.03,16,3,724,0.5718,0.462,1.1388,0.3403,0.2093,0,0.8225,Midwest
RRB-00069,commercial_real_estate,Commercial Real Estate,1160239.08,1616632.98,16,5,671,0.5588,0.2743,1.5122,0.6839,0.2017,0,1.1409,Southeast
RRB-00070,commercial_real_estate,Commercial Real Estate,657221.26,923044.42,12,3,700,0.5615,0.2274,1.1918,0.5631,0.0572,0,1.0114,Southeast
RRB-00071,commercial_real_estate,Commercial Real Estate,2135430.08,2328117.96,11,6,643,0.5388,0.214,1.1092,0.7043,0.0894,0,0.8931,Midwest
RRB-00072,commercial_real_estate,Commercial Real Estate,777191.54,983167.46,15,3,770,0.6032,0.4064,1.4025,0.2382,0.1369,0,0.9288,Midwest
RRB-00073,commercial_real_estate,Commercial Real Estate,1776408.79,2027657.22,17,8,672,0.6736,0.3382,1.4821,0.3845,0.2278,0,0.7689,Mountain
RRB-00074,commercial_real_estate,Commercial Real Estate,867849.32,1192846.41,18,6,739,0.6241,0.3221,1.3979,0.3825,0.0711,0,0.7548,Mountain
RRB-00075,commercial_real_estate,Commercial Real Estate,1705012.27,1961568.72,17,3,664,0.6409,0.2947,1.2245,0.7474,0.2341,0,1.1304,Southeast
RRB-00076,commercial_real_estate,Commercial Real Estate,1278476.85,1554586.63,14,5,723,0.6348,0.4264,1.0347,0.3602,0.2323,0,0.7984,Southeast
RRB-00077,commercial_real_estate,Commercial Real Estate,321153.35,433187.13,18,8,727,0.7633,0.2895,0.9712,0.726,0.1264,0,0.8117,Northeast
RRB-00078,commercial_real_estate,Commercial Real Estate,1640027.7,1930038.34,19,8,708,0.8147,0.2298,1.6254,0.2261,0.1773,0,0.8067,Mountain
RRB-00079,commercial_real_estate,Commercial Real Estate,819455.16,884529.27,7,7,768,0.5369,0.2343,1.4826,0.2216,0.139,0,0.7863,Northeast
RRB-00080,commercial_real_estate,Commercial Real Estate,1097171.68,1271997.19,13,3,743,0.6008,0.3244,1.2196,0.4194,0.1404,0,0.7851,Midwest
RRB-00081,commercial_real_estate,Commercial Real Estate,1641837.54,1937589.47,9,3,742,0.6353,0.4345,1.2912,0.2244,0.1215,0,0.843,Southeast
RRB-00082,commercial_real_estate,Commercial Real Estate,2190817.02,2393184.02,18,3,662,0.7077,0.4644,1.3274,0.6628,0.1533,0,0.9673,Midwest
RRB-00083,commercial_real_estate,Commercial Real Estate,1121650.17,1558119.32,11,7,743,0.6321,0.3035,1.1898,0.712,0.1531,0,1.0067,Midwest
RRB-00084,commercial_real_estate,Commercial Real Estate,1561026.14,1877506.16,15,7,768,0.7856,0.3391,1.4373,0.3454,0.205,0,1.1152,Northeast
RRB-00085,commercial_real_estate,Commercial Real Estate,1196994.55,1409184.53,14,8,656,0.549,0.4348,0.9959,0.4998,0.1609,1,0.7848,Mountain
RRB-00086,commercial_real_estate,Commercial Real Estate,1549145.71,2035885.66,15,7,716,0.7432,0.326,1.5227,0.322,0.1685,0,0.8362,Midwest
RRB-00087,commercial_real_estate,Commercial Real Estate,559963.88,659238.6,14,3,707,0.6678,0.2395,1.4231,0.3464,0.0666,0,1.0908,Mountain
RRB-00088,commercial_real_estate,Commercial Real Estate,2188235.92,2815459.55,13,6,663,0.6244,0.2655,1.3697,0.7396,0.1937,0,0.9002,Midwest
RRB-00089,commercial_real_estate,Commercial Real Estate,530618.15,707989.21,15,4,766,0.7119,0.1971,1.3921,0.3885,0.1724,0,0.9175,Northeast
RRB-00090,commercial_real_estate,Commercial Real Estate,1551681.37,1991487.42,17,7,764,0.772,0.2394,1.2603,0.3893,0.0506,0,1.0137,Midwest
RRB-00091,commercial_real_estate,Commercial Real Estate,378525.08,406746.6,16,7,657,0.7135,0.4736,1.4605,0.7629,0.0497,0,1.1038,Midwest
RRB-00092,commercial_real_estate,Commercial Real Estate,420348.82,601110.84,15,8,656,0.7941,0.4643,1.3393,0.4903,0.1046,0,0.8798,Midwest
RRB-00093,commercial_real_estate,Commercial Real Estate,1953709.09,2801038.81,18,7,647,0.6753,0.3048,1.4599,0.3831,0.1991,0,1.0359,Northeast
RRB-00094,commercial_real_estate,Commercial Real Estate,1711814.34,2117953.03,18,6,754,0.7727,0.2796,1.0275,0.5243,0.1099,0,0.8815,Northeast
RRB-00095,commercial_real_estate,Commercial Real Estate,437907.09,535608.11,7,3,683,0.6449,0.1817,1.5374,0.7025,0.0724,0,1.0152,Mountain
RRB-00096,commercial_real_estate,Commercial Real Estate,798173.25,1048024.27,18,7,676,0.6277,0.1893,1.5408,0.2875,0.2206,0,0.8541,Mountain
RRB-00097,commercial_real_estate,Commercial Real Estate,386831.47,465062.94,12,6,678,0.7057,0.2181,1.2412,0.4109,0.1993,0,0.9213,Northeast
RRB-00098,commercial_real_estate,Commercial Real Estate,2074303.37,2434108.69,16,6,769,0.7638,0.1883,1.5635,0.4867,0.0319,1,1.0389,Southeast
RRB-00099,commercial_real_estate,Commercial Real Estate,1900879.82,2213788.71,12,3,743,0.5944,0.4392,1.0537,0.4657,0.2105,1,1.0303,Mountain
RRB-00100,commercial_real_estate,Commercial Real Estate,1764702.99,1911978.41,11,3,738,0.8032,0.2167,1.2499,0.4347,0.0805,0,1.1199,Northeast
RRB-00101,commercial_real_estate,Commercial Real Estate,1611953.38,2253281.59,19,7,732,0.7916,0.2633,1.6106,0.5862,0.0993,0,1.0076,Southeast
RRB-00102,commercial_real_estate,Commercial Real Estate,1561221.22,1696594.01,20,7,659,0.7049,0.2706,1.4632,0.4764,0.1838,0,0.8377,Southeast
RRB-00103,commercial_real_estate,Commercial Real Estate,313987.94,368139.85,12,8,715,0.5454,0.3032,1.2861,0.6077,0.0713,0,1.0205,Mountain
RRB-00104,commercial_real_estate,Commercial Real Estate,360330.94,498043.63,15,7,662,0.7474,0.3136,1.1744,0.7673,0.1167,1,1.025,Midwest
RRB-00105,commercial_real_estate,Commercial Real Estate,836759.03,1134891.98,15,5,759,0.6098,0.33,1.5647,0.2254,0.141,0,1.1131,Mountain
RRB-00106,commercial_real_estate,Commercial Real Estate,1375110.51,1923411.55,10,4,674,0.7477,0.2343,1.1561,0.6421,0.2319,0,1.0137,Midwest
RRB-00107,commercial_real_estate,Commercial Real Estate,1866928.54,1968089.95,15,5,760,0.7165,0.332,1.3569,0.6049,0.1391,0,1.087,Mountain
RRB-00108,commercial_real_estate,Commercial Real Estate,1113274.84,1318248.62,18,6,649,0.5383,0.4094,1.3815,0.4547,0.149,0,0.9304,Midwest
RRB-00109,commercial_real_estate,Commercial Real Estate,735913.18,912011.72,8,6,675,0.5672,0.3709,1.0125,0.5253,0.2304,0,1.0055,Mountain
RRB-00110,commercial_real_estate,Commercial Real Estate,1487125.21,1941505.34,9,5,752,0.7839,0.4355,1.0933,0.2275,0.1889,0,1.0229,Mountain
RRB-00111,commercial_real_estate,Commercial Real Estate,2106161.69,2472369.7,14,4,732,0.6823,0.4322,1.416,0.6562,0.0424,0,1.0036,Northeast
RRB-00112,commercial_real_estate,Commercial Real Estate,1196644.49,1478934.92,6,5,700,0.6871,0.3876,1.1063,0.3114,0.0877,0,0.9052,Northeast
RRB-00113,commercial_real_estate,Commercial Real Estate,1346132.57,1939755.31,16,7,652,0.77,0.2024,1.6466,0.7683,0.229,0,0.9397,Midwest
RRB-00114,commercial_real_estate,Commercial Real Estate,815301.99,983047.16,19,6,761,0.565,0.382,1.5713,0.5221,0.189,0,0.8289,Southeast
RRB-00115,commercial_real_estate,Commercial Real Estate,1719272.89,2381437.48,14,7,731,0.7233,0.2541,1.6315,0.3997,0.157,0,0.8794,Midwest
RRB-00116,commercial_real_estate,Commercial Real Estate,535241.59,681598.85,9,3,666,0.6686,0.4114,1.0549,0.379,0.0515,0,0.9827,Midwest
RRB-00117,commercial_real_estate,Commercial Real Estate,1555647.51,2229583.68,10,5,764,0.7894,0.3411,1.407,0.5052,0.0697,0,0.9815,Northeast
RRB-00118,commercial_real_estate,Commercial Real Estate,676202.27,911688.4,11,8,640,0.5615,0.4592,1.0865,0.6116,0.1678,0,0.8473,Southeast
RRB-00119,commercial_real_estate,Commercial Real Estate,1567057.44,1707424.78,13,3,735,0.751,0.189,1.3407,0.6604,0.1141,0,1.0466,Southeast
RRB-00120,commercial_real_estate,Commercial Real Estate,1228891.69,1637695.56,13,3,675,0.7206,0.191,1.2611,0.516,0.037,0,0.9084,Southeast
RRB-00121,commercial_real_estate,Commercial Real Estate,1858581.25,2438671.44,11,6,695,0.7789,0.3633,1.0066,0.701,0.2036,0,1.0339,Midwest
RRB-00122,commercial_real_estate,Commercial Real Estate,1354542.98,1896449.83,7,8,738,0.7465,0.4355,1.6076,0.5557,0.1963,0,0.9975,Southeast
RRB-00123,commercial_real_estate,Commercial Real Estate,2018924.26,2511065.31,7,5,653,0.6685,0.2843,1.2946,0.5393,0.1754,0,0.8258,Northeast
RRB-00124,commercial_real_estate,Commercial Real Estate,1129198.72,1268698.9,13,6,707,0.6042,0.4417,1.2451,0.4863,0.2372,0,0.9827,Northeast
RRB-00125,commercial_real_estate,Commercial Real Estate,279424.5,398791.66,20,6,687,0.5624,0.4085,1.0075,0.2443,0.0208,0,0.885,Mountain
RRB-00126,commercial_real_estate,Commercial Real Estate,2151736.82,2432035.64,11,5,729,0.8046,0.327,1.1569,0.2363,0.0456,0,1.0628,Mountain
RRB-00127,commercial_real_estate,Commercial Real Estate,1748902.21,2046893.46,16,4,646,0.5775,0.4364,1.1583,0.7398,0.18,0,1.061,Mountain
RRB-00128,commercial_real_estate,Commercial Real Estate,1853732.54,2172178.51,6,6,693,0.7429,0.4226,1.1881,0.6401,0.1545,0,0.8838,Southeast
RRB-00129,commercial_real_estate,Commercial Real Estate,1864337.57,2263085.14,7,8,674,0.6162,0.2528,1.4277,0.6066,0.225,0,0.9611,Midwest
RRB-00130,commercial_real_estate,Commercial Real Estate,496220.56,603355.95,11,6,757,0.7855,0.4511,1.1101,0.7275,0.1021,0,0.891,Southeast
RRB-00131,commercial_real_estate,Commercial Real Estate,1955165.99,2392827.52,7,3,664,0.6423,0.2357,1.5436,0.3764,0.1674,0,0.8874,Southeast
RRB-00132,commercial_real_estate,Commercial Real Estate,414008.17,523861.33,16,5,674,0.7186,0.1854,1.3785,0.7776,0.0752,0,0.8295,Mountain
RRB-00133,commercial_real_estate,Commercial Real Estate,852489.64,1181766.6,7,8,663,0.7069,0.2182,0.9878,0.3372,0.1944,0,0.802,Northeast
RRB-00134,commercial_real_estate,Commercial Real Estate,562162.04,795467.14,19,7,673,0.5638,0.3787,1.4902,0.2582,0.083,0,1.0115,Southeast
RRB-00135,commercial_real_estate,Commercial Real Estate,1191687.99,1466600.99,14,3,741,0.7382,0.3977,1.3123,0.688,0.0245,0,1.0635,Midwest
RRB-00136,commercial_real_estate,Commercial Real Estate,619839.56,740263.6,15,3,696,0.5501,0.2636,1.411,0.6909,0.1286,0,1.0636,Mountain
RRB-00137,commercial_real_estate,Commercial Real Estate,661793.67,762816.18,7,5,690,0.7497,0.2028,1.1282,0.3941,0.177,0,0.9013,Midwest
RRB-00138,commercial_real_estate,Commercial Real Estate,1379551.23,1814459.5,20,3,684,0.5491,0.2384,1.385,0.4745,0.0423,0,0.988,Northeast
RRB-00139,commercial_real_estate,Commercial Real Estate,564757.41,786330.83,6,3,730,0.5634,0.2805,1.6109,0.6835,0.0531,0,0.9607,Northeast
RRB-00140,commercial_real_estate,Commercial Real Estate,1189772.84,1493478.46,15,4,691,0.6387,0.3339,1.4939,0.27,0.1274,0,0.8378,Northeast
RRB-00141,commercial_real_estate,Commercial Real Estate,1603090.8,2197466.72,14,7,700,0.7948,0.4603,1.6389,0.2389,0.1165,0,0.9606,Midwest
RRB-00142,commercial_real_estate,Commercial Real Estate,280506.9,327201.61,11,5,730,0.6456,0.2761,1.5612,0.743,0.1854,0,1.1411,Southeast
RRB-00143,commercial_real_estate,Commercial Real Estate,1974471.09,2561620.0,12,7,659,0.6886,0.3358,1.3913,0.3933,0.0346,0,0.9573,Midwest
RRB-00144,commercial_real_estate,Commercial Real Estate,1721210.27,1869486.37,15,4,698,0.7835,0.3012,1.5554,0.3053,0.1284,0,0.9346,Southeast
RRB-00145,commercial_real_estate,Commercial Real Estate,1716113.22,2101648.01,13,3,756,0.6156,0.3112,1.5583,0.3651,0.0843,0,0.8044,Mountain
RRB-00146,commercial_real_estate,Commercial Real Estate,1661839.14,1983523.11,15,3,723,0.7263,0.2877,1.024,0.3162,0.0947,0,0.8692,Mountain
RRB-00147,commercial_real_estate,Commercial Real Estate,2124275.0,2649433.77,13,6,683,0.7846,0.4347,1.3838,0.7411,0.0514,1,0.9308,Mountain
RRB-00148,commercial_real_estate,Commercial Real Estate,531172.3,622274.2,18,6,673,0.6931,0.2015,1.368,0.7229,0.0684,0,0.9195,Mountain
RRB-00149,commercial_real_estate,Commercial Real Estate,411303.41,517475.69,8,4,756,0.5516,0.2886,1.0217,0.2319,0.0864,0,0.9106,Northeast
RRB-00150,commercial_real_estate,Commercial Real Estate,1692444.67,2009752.72,13,7,701,0.7464,0.3354,1.0469,0.7309,0.2388,0,0.9088,Southeast
RRB-00151,commercial_real_estate,Commercial Real Estate,285455.99,323999.53,15,5,702,0.8189,0.356,1.0714,0.2558,0.0722,0,0.9655,Midwest
RRB-00152,commercial_real_estate,Commercial Real Estate,1478556.29,1657492.89,18,6,650,0.6578,0.2792,1.2986,0.7136,0.2182,0,0.9895,Mountain
RRB-00153,commercial_real_estate,Commercial Real Estate,1466133.29,1686423.48,18,5,647,0.6627,0.2453,1.0598,0.5957,0.0842,0,0.9107,Midwest
RRB-00154,commercial_real_estate,Commercial Real Estate,2052120.24,2797403.99,9,3,765,0.7845,0.4481,0.9607,0.3518,0.1753,0,1.0372,Midwest
RRB-00155,commercial_real_estate,Commercial Real Estate,440788.66,538753.37,6,3,655,0.7852,0.3428,1.4038,0.7134,0.1533,0,1.1217,Southeast
RRB-00156,commercial_real_estate,Commercial Real Estate,936605.34,1075400.77,10,7,669,0.6025,0.2137,1.381,0.6244,0.1432,0,0.9977,Midwest
RRB-00157,commercial_real_estate,Commercial Real Estate,1731353.39,2341688.66,7,4,736,0.766,0.3037,0.9523,0.7395,0.0205,0,0.8381,Northeast
RRB-00158,commercial_real_estate,Commercial Real Estate,929711.64,1206643.88,12,6,694,0.587,0.348,1.3518,0.4656,0.1557,0,1.0563,Mountain
RRB-00159,commercial_real_estate,Commercial Real Estate,818267.95,1036135.35,6,6,741,0.7222,0.1908,1.0835,0.6602,0.1646,0,0.7614,Mountain
RRB-00160,commercial_real_estate,Commercial Real Estate,599884.06,849879.68,9,7,698,0.8201,0.2474,1.5321,0.7265,0.1046,0,0.834,Southeast
RRB-00161,commercial_real_estate,Commercial Real Estate,289343.36,371783.89,20,5,687,0.709,0.4406,1.0087,0.7111,0.1493,0,1.0514,Northeast
RRB-00162,commercial_real_estate,Commercial Real Estate,1281576.88,1686293.5,10,3,737,0.6401,0.3172,1.5248,0.6065,0.2087,0,0.8211,Northeast
RRB-00163,commercial_real_estate,Commercial Real Estate,374673.87,472350.38,8,3,666,0.7973,0.2722,1.2678,0.7031,0.124,0,1.0703,Mountain
RRB-00164,commercial_real_estate,Commercial Real Estate,1164913.87,1275598.3,11,8,706,0.7931,0.2501,0.9991,0.301,0.0294,0,1.1415,Southeast
RRB-00165,commercial_real_estate,Commercial Real Estate,1680525.92,2001457.97,17,8,682,0.8398,0.3461,1.1255,0.4949,0.1977,0,1.0578,Mountain
RRB-00166,commercial_real_estate,Commercial Real Estate,1066531.4,1458520.98,17,5,722,0.5919,0.3926,1.5138,0.3146,0.129,0,0.7632,Midwest
RRB-00167,commercial_real_estate,Commercial Real Estate,1436041.46,2029360.25,19,8,699,0.6099,0.3532,1.4474,0.5082,0.1628,0,0.8943,Northeast
RRB-00168,commercial_real_estate,Commercial Real Estate,2108315.24,2444096.19,13,8,679,0.5208,0.4597,1.5065,0.2959,0.2059,0,0.7797,Mountain
RRB-00169,commercial_real_estate,Commercial Real Estate,600196.25,672841.81,19,4,682,0.8108,0.2804,1.5577,0.6213,0.0731,0,0.8422,Southeast
RRB-00170,commercial_real_estate,Commercial Real Estate,1504830.22,1901728.62,9,4,683,0.7037,0.371,1.0685,0.522,0.1791,0,0.8426,Mountain
RRB-00171,commercial_real_estate,Commercial Real Estate,1555483.5,2044644.28,6,4,672,0.7342,0.2238,1.5416,0.2662,0.193,0,0.7779,Mountain
RRB-00172,commercial_real_estate,Commercial Real Estate,1241968.24,1747683.53,7,3,683,0.8087,0.3281,1.5198,0.6018,0.1359,0,0.8321,Mountain
RRB-00173,commercial_real_estate,Commercial Real Estate,915358.89,1015854.6,9,4,767,0.5728,0.3487,1.1303,0.5754,0.191,1,1.0189,Mountain
