account_id,channel,fico_band,ltv_ratio,dti_ratio,payment_shock_index,verified_income_stability,manual_override_flag,self_employed_flag,zip_risk_band
DOC-00044,branch,prime,0.7667,0.3961,0.0,0.3755,0,0,elevated
DOC-00045,digital,subprime,0.8199,0.05,0.2587,0.4616,0,0,low
DOC-00046,call_center,subprime,0.8133,0.39,0.0665,0.3826,0,0,low
DOC-00047,digital,subprime,0.7839,0.5195,0.1139,0.9945,0,0,elevated
DOC-00048,digital,subprime,0.7059,0.606,0.3233,,0,0,low
DOC-00049,digital,near_prime,0.732,0.331,0.3308,,0,0,low
DOC-00050,call_center,near_prime,0.8226,0.3133,0.3009,,0,0,low
DOC-00051,digital,near_prime,0.6304,0.1655,0.2057,0.6931,0,0,elevated
DOC-00052,branch,prime,0.6541,0.5512,0.3791,,0,0,elevated
DOC-00053,digital,subprime,0.7747,0.1197,0.3102,0.3724,0,0,moderate
DOC-00054,call_center,subprime,0.7553,0.2626,0.1972,0.9852,0,1,low
DOC-00055,digital,subprime,0.8525,0.2981,0.4805,0.5996,0,0,moderate
DOC-00056,digital,near_prime,0.8697,0.2389,0.1956,0.3947,0,0,low
DOC-00057,branch,subprime,0.7567,0.3877,0.1939,0.347,0,0,moderate
DOC-00058,branch,subprime,0.7046,0.3849,0.1917,0.4806,0,0,moderate
DOC-00059,call_center,prime,0.8752,0.3576,0.2653,0.8425,0,0,low
DOC-00060,branch,prime,0.6037,0.5158,0.204,0.8141,0,0,low
DOC-00061,call_center,prime,0.8684,0.427,0.2448,0.8355,0,0,elevated
DOC-00062,branch,subprime,0.9691,0.2752,0.0,0.5774,0,0,low
DOC-00063,digital,prime,0.7276,0.2468,0.4341,0.709,0,0,moderate
DOC-00064,branch,prime,0.8651,0.6223,0.2891,,0,0,moderate
DOC-00065,branch,subprime,0.835,0.1657,0.3591,0.5103,0,0,low
DOC-00066,branch,near_prime,0.7105,0.2906,0.1218,,0,1,low
DOC-00067,branch,subprime,0.7066,0.3511,0.6051,,0,0,low
DOC-00068,branch,subprime,0.8869,0.1472,0.538,0.8435,0,0,low
DOC-00069,digital,prime,0.7667,0.4057,0.0446,0.9448,0,0,low
DOC-00070,branch,subprime,0.6816,0.2273,0.1096,0.431,0,0,low
DOC-00071,digital,prime,0.5282,0.5962,0.0,,0,0,low
DOC-00072,branch,near_prime,0.7511,0.2917,0.4053,0.6656,0,0,low
DOC-00073,digital,subprime,0.7808,0.44,0.3532,,0,0,elevated
DOC-00074,digital,near_prime,0.828,0.3832,0.2112,0.391,0,0,elevated
DOC-00075,branch,subprime,0.7688,0.329,0.6326,0.5698,1,0,low
DOC-00076,branch,subprime,0.62,0.2838,0.0,,0,0,low
DOC-00077,digital,prime,0.6334,0.2788,0.0,,0,1,elevated
DOC-00078,branch,near_prime,0.6934,0.4812,0.4041,,0,0,low
DOC-00079,branch,prime,0.7861,0.4413,0.4778,0.2997,0,0,low
DOC-00080,branch,prime,0.7069,0.3074,0.3549,0.4316,0,0,moderate
DOC-00081,digital,near_prime,0.8113,0.3703,0.4084,0.7595,0,0,moderate
DOC-00082,digital,prime,0.8533,0.2412,0.4084,0.6685,0,1,low
DOC-00083,branch,near_prime,0.8128,0.3178,0.0,1.0,0,0,moderate
DOC-00084,branch,subprime,0.8604,0.2609,0.0915,0.6081,1,0,moderate
DOC-00085,branch,subprime,0.8307,0.2777,0.1305,,0,0,moderate
DOC-00086,branch,near_prime,0.7473,0.6464,0.1108,,0,0,low
DOC-00087,branch,prime,0.6987,0.3709,0.0574,0.2204,0,1,low
DOC-00088,digital,prime,0.9453,0.1335,0.3783,0.8775,0,0,low
DOC-00089,branch,prime,0.826,0.614,0.2683,0.8464,1,0,elevated
DOC-00090,digital,near_prime,0.8951,0.2819,0.1886,,0,0,low
DOC-00091,digital,near_prime,0.9048,0.4655,0.0298,0.4542,0,0,low
DOC-00092,call_center,prime,0.8229,0.2547,0.2489,,0,0,elevated
DOC-00093,branch,prime,0.8188,0.3451,0.3283,,0,0,low
DOC-00094,branch,subprime,0.8909,0.2615,0.3525,0.5631,0,0,moderate
DOC-00095,call_center,prime,0.7323,0.348,0.4116,0.4496,0,0,low
DOC-00096,branch,subprime,0.6494,0.5256,0.3274,,0,0,elevated
DOC-00097,digital,subprime,0.841,0.5574,0.1872,0.7963,0,0,moderate
DOC-00098,branch,subprime,0.9014,0.6059,0.3091,0.9083,0,0,moderate
DOC-00099,call_center,prime,0.7123,0.3002,0.0073,0.5289,0,1,low
DOC-00100,call_center,prime,0.7494,0.4021,0.1838,0.6813,0,1,low
DOC-00101,digital,near_prime,0.8252,0.2978,0.4645,0.5314,0,0,low
DOC-00102,digital,subprime,0.6855,0.3198,0.2869,1.0,0,0,moderate
DOC-00103,branch,near_prime,0.6158,0.5786,0.4832,,0,0,moderate
DOC-00104,branch,prime,0.8109,0.4106,0.2387,,1,0,low
DOC-00105,call_center,near_prime,0.7602,0.05,0.1281,0.8551,0,0,moderate
DOC-00106,branch,prime,0.6133,0.3235,0.7137,0.7951,0,0,moderate
DOC-00107,branch,prime,0.8934,0.406,0.1335,0.7828,0,0,elevated
DOC-00108,call_center,prime,0.6753,0.4397,0.2646,0.4506,0,0,elevated
DOC-00109,call_center,near_prime,0.6203,0.2781,0.6188,,0,0,low
DOC-00110,call_center,prime,0.7865,0.2195,0.126,0.7453,0,1,moderate
DOC-00111,digital,near_prime,0.7873,0.1112,0.0,,0,0,elevated
DOC-00112,branch,near_prime,0.9826,0.4478,0.1816,0.5086,0,0,moderate
DOC-00113,digital,near_prime,0.8261,0.3607,0.3789,,0,0,moderate
DOC-00114,branch,prime,0.652,0.1803,0.0675,,0,0,low
DOC-00115,call_center,prime,0.6731,0.443,0.0002,0.1417,1,1,moderate
DOC-00116,call_center,subprime,0.6913,0.536,0.2113,0.6859,0,0,moderate
DOC-00117,branch,near_prime,0.8236,0.26,0.1371,0.4816,0,0,moderate
DOC-00118,digital,near_prime,0.7211,0.5069,0.2696,0.474,0,0,low
DOC-00119,digital,near_prime,0.8508,0.1912,0.2976,0.7036,0,0,low
DOC-00120,branch,prime,0.7353,0.3985,0.0,0.821,0,0,low
DOC-00121,digital,subprime,0.5769,0.3142,0.4503,0.5433,0,0,low
DOC-00122,branch,prime,0.5217,0.4736,0.1453,,0,0,moderate
DOC-00123,branch,prime,0.6574,0.3578,0.1412,0.2126,0,1,low
DOC-00124,digital,near_prime,0.7135,0.5405,0.3671,0.6997,0,0,elevated
DOC-00125,branch,near_prime,0.7367,0.3443,0.2607,0.7514,0,0,low
DOC-00126,digital,prime,0.8608,0.1758,0.313,0.5152,0,0,moderate
DOC-00127,branch,subprime,0.8459,0.3847,0.3651,0.5906,0,0,moderate
DOC-00128,branch,prime,0.657,0.352,0.32,,0,0,low
DOC-00129,digital,subprime,0.8067,0.4722,0.279,,0,0,moderate
DOC-00130,branch,prime,0.5856,0.2131,0.0435,0.6443,0,0,low
DOC-00131,branch,prime,0.8833,0.4641,0.1023,0.6733,1,0,low
DOC-00132,call_center,near_prime,0.7662,0.2065,0.1577,0.1008,0,0,elevated
DOC-00133,branch,near_prime,0.6313,0.0785,0.3164,,0,1,moderate
DOC-00134,branch,subprime,0.8694,0.2814,0.3491,,0,0,elevated
DOC-00135,branch,subprime,0.7982,0.3472,0.3147,0.0765,0,0,moderate
DOC-00136,branch,subprime,0.8725,0.586,0.3262,,0,1,low
DOC-00137,call_center,near_prime,0.7468,0.355,0.0854,0.6322,0,1,low
DOC-00138,digital,near_prime,0.7974,0.2364,0.1617,0.8206,1,0,moderate
DOC-00139,digital,subprime,0.892,0.523,0.0318,0.4128,0,0,moderate
DOC-00140,call_center,near_prime,0.6755,0.5374,0.198,,0,0,low
DOC-00141,call_center,prime,0.8234,0.5024,0.0073,0.6886,0,0,moderate
DOC-00142,branch,prime,0.6622,0.1556,0.166,1.0,0,0,moderate
DOC-00143,branch,near_prime,1.1298,0.2779,0.0,0.0,0,0,moderate
DOC-00144,digital,prime,0.7754,0.464,0.1409,0.3881,0,0,low
DOC-00145,branch,prime,0.8174,0.1233,0.1743,,0,0,elevated
DOC-00146,branch,near_prime,0.9554,0.3473,0.4264,0.9607,0,0,low
DOC-00147,branch,prime,0.7807,0.3455,0.1564,,0,0,moderate
DOC-00148,call_center,near_prime,0.8247,0.3418,0.3173,1.0,0,0,moderate
DOC-00149,digital,prime,0.8008,0.3476,0.4705,0.8287,0,0,low
DOC-00150,call_center,near_prime,0.8837,0.3886,0.4668,,1,0,elevated
DOC-00151,branch,prime,0.8082,0.2849,0.3178,0.9899,0,0,low
DOC-00152,digital,prime,0.8254,0.5192,0.0,,0,0,moderate
DOC-00153,digital,near_prime,0.806,0.3585,0.1708,,0,0,low
DOC-00154,call_center,near_prime,0.7188,0.4408,0.3783,,0,0,low
DOC-00155,branch,prime,0.8616,0.5103,0.2461,,0,0,low
DOC-00156,digital,near_prime,0.6524,0.521,0.35,0.8545,0,0,low
DOC-00157,branch,prime,0.5758,0.4404,0.0716,0.5877,0,0,moderate
DOC-00158,branch,prime,0.8264,0.5669,0.1808,,0,0,low
DOC-00159,call_center,near_prime,0.9498,0.3179,0.3068,,0,0,low
DOC-00160,call_center,near_prime,0.9257,0.3709,0.0094,,0,1,elevated
DOC-00161,digital,prime,0.8153,0.3297,0.2871,0.911,0,0,moderate
DOC-00162,digital,near_prime,0.6759,0.2922,0.2734,,0,0,elevated
DOC-00163,branch,prime,0.7766,0.3972,0.0825,0.2165,0,0,low
DOC-00164,call_center,near_prime,0.8149,0.3155,0.3676,0.2548,0,0,moderate
DOC-00165,digital,prime,0.9331,0.3603,0.4599,0.444,0,0,low
DOC-00166,branch,near_prime,0.8058,0.305,0.4085,0.7994,0,0,low
DOC-00167,digital,near_prime,0.9453,0.1867,0.2572,0.6113,0,0,elevated
DOC-00168,branch,subprime,0.835,0.4481,0.2314,0.3177,1,0,low
DOC-00169,digital,prime,0.8332,0.4745,0.293,0.7116,0,0,low
DOC-00170,branch,near_prime,0.7622,0.3879,0.4357,0.5265,0,0,moderate
DOC-00171,digital,subprime,0.777,0.3639,0.0999,,0,0,elevated
DOC-00172,call_center,prime,0.7074,0.3922,0.465,,0,0,elevated
DOC-00173,call_center,subprime,0.7818,0.3589,0.2061,,0,0,moderate
DOC-00174,branch,subprime,0.7675,0.4778,0.202,,0,1,elevated
DOC-00175,branch,prime,0.9241,0.2691,0.1835,0.8871,0,0,moderate
DOC-00176,branch,subprime,0.6511,0.3254,0.5757,,0,0,low
DOC-00177,branch,near_prime,0.7891,0.2445,0.1241,0.612,0,0,low
DOC-00178,branch,near_prime,0.7745,0.1768,0.3947,,0,1,low
DOC-00179,branch,prime,0.6692,0.2526,0.2701,0.5095,0,0,low
DOC-00180,call_center,prime,0.9364,0.3839,0.1082,0.7302,0,0,elevated
DOC-00181,call_center,near_prime,0.8847,0.2808,0.1513,0.8983,0,0,low
DOC-00182,branch,prime,0.8271,0.1521,0.4385,,0,0,elevated
DOC-00183,call_center,near_prime,0.7103,0.3258,0.3302,0.5979,1,0,low
DOC-00184,branch,prime,0.711,0.4428,0.2208,0.3675,0,0,elevated
DOC-00185,branch,prime,0.6905,0.5515,0.2092,0.4978,0,0,low
DOC-00186,call_center,prime,0.5598,0.4686,0.1692,0.6155,0,1,low
DOC-00187,digital,prime,1.0139,0.2357,0.4259,0.8469,1,0,low
DOC-00188,digital,prime,0.8707,0.4745,0.4362,0.6606,0,0,low
DOC-00189,branch,subprime,0.8775,0.062,0.0,0.5096,0,0,elevated
DOC-00190,call_center,prime,0.7006,0.372,0.2838,0.6686,0,0,elevated
DOC-00191,branch,subprime,0.6915,0.4321,0.3105,,0,1,moderate
DOC-00192,call_center,near_prime,0.8548,0.4896,0.0621,,0,0,low
DOC-00193,digital,prime,0.7082,0.369,0.1483,,0,0,low
DOC-00194,branch,prime,0.8746,0.2363,0.202,,0,0,elevated
DOC-00195,branch,near_prime,0.6675,0.4894,0.3055,0.696,0,1,low
DOC-00196,branch,prime,0.7326,0.5033,0.2062,0.2071,0,0,moderate
DOC-00197,call_center,prime,0.7429,0.376,0.192,0.4311,1,1,low
DOC-00198,digital,subprime,0.7551,0.134,0.064,,0,0,low
DOC-00199,branch,subprime,0.6361,0.2524,0.3497,1.0,0,0,low
DOC-00200,branch,near_prime,0.8311,0.2732,0.2338,0.6419,0,0,low
DOC-00201,branch,subprime,0.777,0.1699,0.2179,0.5615,0,1,moderate
DOC-00202,digital,prime,0.4529,0.1864,0.1932,0.5429,0,0,moderate
DOC-00203,branch,prime,0.5607,0.205,0.0669,,0,0,elevated
DOC-00204,call_center,subprime,0.787,0.3257,0.0338,0.6656,1,0,moderate
DOC-00205,digital,subprime,0.6807,0.3697,0.3458,,0,0,low
DOC-00206,digital,near_prime,0.6972,0.458,0.0922,,0,0,low
DOC-00207,digital,prime,0.5542,0.3756,0.1314,,0,0,low
DOC-00208,digital,near_prime,0.8213,0.5413,0.0216,0.3387,1,0,low
DOC-00209,call_center,subprime,0.8188,0.5264,0.3508,1.0,0,0,low
DOC-00210,digital,near_prime,0.7641,0.3033,0.3614,0.3728,1,0,low
DOC-00211,digital,near_prime,0.7213,0.4029,0.3838,0.7244,1,0,low
DOC-00212,branch,prime,0.7391,0.4011,0.1442,0.6779,0,0,moderate
DOC-00213,branch,prime,0.8847,0.3355,0.268,,0,0,low
DOC-00214,digital,near_prime,0.837,0.3743,0.4233,,0,0,moderate
DOC-00215,branch,prime,0.8441,0.4134,0.0826,0.5927,0,0,moderate
DOC-00216,branch,near_prime,0.7662,0.3016,0.088,,0,0,moderate
DOC-00217,branch,near_prime,0.7823,0.3452,0.4304,0.527,0,0,low
DOC-00218,digital,subprime,0.7495,0.3969,0.1053,0.5976,0,0,low
DOC-00219,branch,prime,0.8596,0.2758,0.0,0.6884,0,1,low
DOC-00220,digital,subprime,0.8602,0.5278,0.0,,0,0,elevated
DOC-00221,call_center,subprime,0.5642,0.165,0.0196,0.3778,0,0,low
DOC-00222,digital,near_prime,0.8548,0.481,0.1195,0.9417,0,0,elevated
DOC-00223,digital,subprime,0.9923,0.3053,0.1874,0.8737,0,0,low
DOC-00224,digital,prime,0.8335,0.0898,0.2884,,0,0,low
DOC-00225,digital,prime,0.7828,0.2997,0.0927,0.6093,0,0,low
DOC-00226,call_center,near_prime,0.8055,0.3447,0.2615,,0,0,low
DOC-00227,digital,near_prime,0.7666,0.1693,0.4098,0.6431,0,1,low
DOC-00228,branch,near_prime,0.8809,0.3092,0.3009,0.3353,0,0,low
DOC-00229,digital,subprime,0.8839,0.3595,0.8109,0.4423,0,0,low
DOC-00230,branch,prime,0.7208,0.2282,0.4534,,0,0,moderate
DOC-00231,branch,near_prime,0.725,0.4202,0.2299,,0,1,low
DOC-00232,branch,subprime,0.9341,0.4193,0.2694,0.6054,0,0,low
DOC-00233,call_center,subprime,0.6355,0.2577,0.1464,,0,0,low
DOC-00234,digital,prime,0.765,0.2783,0.2489,0.7443,0,0,moderate
DOC-00235,digital,subprime,0.8701,0.4398,0.2599,0.5432,0,0,low
DOC-00236,call_center,prime,0.7402,0.3499,0.2129,0.5595,0,0,elevated
DOC-00237,call_center,subprime,0.7989,0.418,0.3136,,0,0,low
DOC-00238,digital,near_prime,0.9551,0.263,0.4316,0.3611,0,0,low
DOC-00239,digital,prime,0.8222,0.2538,0.2545,0.6493,0,0,low
DOC-00240,call_center,near_prime,0.9093,0.431,0.0937,,0,1,elevated
DOC-00241,call_center,near_prime,0.7298,0.3656,0.35,0.4814,0,0,low
DOC-00242,digital,subprime,0.8026,0.4053,0.3316,0.2924,0,1,elevated
DOC-00243,branch,prime,0.5246,0.5592,0.594,0.3381,0,0,low
DOC-00244,call_center,prime,0.849,0.3926,0.2166,,0,0,low
DOC-00245,branch,prime,0.7193,0.3231,0.141,0.5823,0,0,low
DOC-00246,branch,prime,0.7588,0.1223,0.3239,0.8977,0,0,low
DOC-00247,branch,near_prime,0.8908,0.376,0.1913,0.7253,0,0,elevated
DOC-00248,digital,prime,0.548,0.4076,0.3089,,0,0,moderate
DOC-00249,call_center,subprime,0.8004,0.3688,0.4165,0.5826,0,0,low
DOC-00250,digital,subprime,0.8801,0.493,0.3703,0.6148,0,0,moderate
DOC-00251,digital,subprime,0.8852,0.5462,0.4373,0.7124,0,0,elevated
DOC-00252,digital,prime,0.5574,0.3677,0.4094,0.7271,1,1,moderate
DOC-00253,digital,prime,0.8399,0.2515,0.126,0.4341,0,0,moderate
DOC-00254,branch,near_prime,0.9261,0.2804,0.2669,,0,0,low
DOC-00255,digital,prime,0.6716,0.3427,0.1862,1.0,0,0,low
DOC-00256,branch,prime,0.8335,0.5188,0.2739,0.6747,1,0,elevated
DOC-00257,call_center,prime,0.8335,0.3617,0.0951,0.152,0,0,elevated
DOC-00258,digital,subprime,0.7546,0.5117,0.2498,0.4753,0,1,moderate
DOC-00259,branch,near_prime,0.7584,0.1939,0.208,,0,0,low
DOC-00260,branch,prime,0.9191,0.5021,0.3473,,0,0,elevated
DOC-00261,branch,near_prime,0.8243,0.4248,0.0541,0.8939,0,0,low
DOC-00262,branch,prime,0.7602,0.31,0.0187,0.2393,0,0,moderate
DOC-00263,digital,near_prime,0.6712,0.3981,0.0789,0.6875,0,1,elevated
DOC-00264,digital,prime,0.9092,0.4853,0.2415,0.492,1,0,low
DOC-00265,digital,subprime,1.0282,0.4277,0.1504,0.9318,0,0,moderate
DOC-00266,digital,near_prime,0.9415,0.4884,0.1252,0.8665,0,1,moderate
DOC-00267,branch,prime,0.5218,0.4197,0.0968,0.7752,0,0,low
DOC-00268,branch,near_prime,0.6429,0.448,0.5106,0.7169,0,0,low
DOC-00269,call_center,near_prime,0.8141,0.4759,0.0525,0.9852,0,0,low
DOC-00270,branch,subprime,0.7955,0.3571,0.1658,0.2015,0,0,moderate
DOC-00271,call_center,prime,0.7622,0.3595,0.4622,0.6721,0,0,moderate
DOC-00272,branch,near_prime,0.5328,0.4383,0.2015,,0,0,elevated
DOC-00273,call_center,near_prime,0.6798,0.4401,0.0981,1.0,0,0,moderate
DOC-00274,digital,prime,0.8342,0.2025,0.1156,0.7156,1,0,moderate
DOC-00275,branch,subprime,0.6803,0.2604,0.082,,0,0,low
DOC-00276,branch,near_prime,0.6205,0.1911,0.4784,0.7743,0,0,low
DOC-00277,digital,subprime,0.7463,0.3111,0.467,0.7322,0,0,low
DOC-00278,call_center,near_prime,0.8089,0.2349,0.2925,0.5179,0,0,low
DOC-00279,call_center,subprime,0.8337,0.5191,0.5191,0.8269,0,0,moderate
DOC-00280,branch,near_prime,0.6736,0.1538,0.1736,,0,0,low
DOC-00281,branch,prime,0.6554,0.3042,0.2946,0.6627,0,0,moderate
DOC-00282,call_center,prime,0.7623,0.386,0.3425,0.5742,0,1,low
DOC-00283,digital,near_prime,0.8135,0.115,0.2915,0.1912,0,0,moderate
DOC-00284,call_center,prime,0.8919,0.4615,0.238,0.6519,0,0,elevated
DOC-00285,branch,near_prime,0.6717,0.3104,0.0898,0.8861,0,0,low
DOC-00286,digital,subprime,0.7225,0.3351,0.3019,0.7938,0,0,moderate
DOC-00287,digital,prime,0.5817,0.4141,0.212,0.7553,0,0,low
DOC-00288,call_center,prime,0.5964,0.6283,0.327,0.6349,0,1,moderate
DOC-00289,digital,prime,0.9534,0.325,0.0,,1,0,low
DOC-00290,digital,subprime,0.796,0.278,0.2979,0.5211,0,0,moderate
DOC-00291,call_center,near_prime,0.8685,0.4239,0.1931,0.2196,0,0,low
DOC-00292,digital,near_prime,0.7975,0.1796,0.2955,,0,0,elevated
DOC-00293,call_center,prime,0.6951,0.406,0.0783,0.809,0,0,elevated
DOC-00294,branch,near_prime,0.8998,0.4082,0.3813,0.5368,0,0,low
DOC-00295,digital,near_prime,0.9087,0.1218,0.4279,0.6614,0,0,moderate
DOC-00296,branch,near_prime,0.826,0.2765,0.0765,0.3144,0,0,moderate
DOC-00297,call_center,prime,0.9344,0.5448,0.0,,0,0,low
DOC-00298,branch,prime,0.8055,0.4376,0.0,0.4966,0,0,low
DOC-00299,call_center,near_prime,0.7744,0.336,0.1497,,0,0,low
DOC-00300,branch,near_prime,0.7762,0.5949,0.2339,,0,0,low
DOC-00301,branch,near_prime,0.9607,0.0704,0.3943,,0,1,moderate
DOC-00302,branch,subprime,0.7239,0.3313,0.448,,0,0,moderate
DOC-00303,call_center,subprime,0.9329,0.4214,0.2673,0.5361,0,0,moderate
DOC-00304,digital,subprime,0.9131,0.3979,0.0744,,0,1,moderate
DOC-00305,branch,near_prime,0.7441,0.4067,0.2969,,0,0,moderate
DOC-00306,call_center,prime,1.0734,0.2488,0.1064,0.5971,0,0,moderate
DOC-00307,branch,prime,0.768,0.2295,0.0,,0,0,elevated
DOC-00308,digital,near_prime,0.6917,0.587,0.3916,0.9221,0,0,moderate
DOC-00309,call_center,prime,0.8992,0.393,0.2774,1.0,0,0,elevated
DOC-00310,branch,near_prime,0.7525,0.4464,0.2017,,0,0,low
DOC-00311,branch,prime,0.8632,0.2395,0.396,,0,0,moderate
DOC-00312,digital,near_prime,0.7646,0.2287,0.1649,,0,0,low
DOC-00313,digital,prime,0.6091,0.2938,0.31,0.2726,0,0,elevated
DOC-00314,branch,near_prime,0.8635,0.4665,0.1564,0.7392,0,0,moderate
DOC-00315,digital,subprime,0.7205,0.415,0.0978,,0,0,low
DOC-00316,call_center,subprime,0.8516,0.2735,0.3923,,0,1,low
DOC-00317,digital,prime,0.7575,0.2708,0.1239,,0,0,low
DOC-00318,branch,near_prime,0.7093,0.5414,0.0266,,0,0,moderate
DOC-00319,digital,prime,0.7844,0.3659,0.3924,,0,0,low
DOC-00320,digital,subprime,0.8852,0.3985,0.3264,0.6222,0,1,low
DOC-00321,branch,near_prime,0.8408,0.4665,0.4074,0.4225,0,0,moderate
DOC-00322,digital,prime,0.753,0.5416,0.0,,0,0,elevated
DOC-00323,branch,subprime,0.5022,0.3106,0.2874,0.6845,0,0,moderate
DOC-00324,call_center,near_prime,0.8674,0.4401,0.0329,0.6005,0,0,moderate
DOC-00325,branch,near_prime,0.7898,0.2828,0.1756,0.5975,0,1,moderate
DOC-00326,digital,prime,0.8741,0.6128,0.1968,0.5938,0,0,low
DOC-00327,digital,prime,0.7431,0.3962,0.1105,0.4687,0,0,moderate
DOC-00328,digital,prime,0.7717,0.3523,0.1116,0.4974,0,0,moderate
DOC-00329,branch,subprime,0.7457,0.377,0.0258,0.4348,0,0,low
DOC-00330,branch,subprime,0.809,0.2583,0.2031,,0,0,low
DOC-00331,digital,near_prime,0.7704,0.4239,0.0,0.5012,0,0,moderate
DOC-00332,branch,prime,0.735,0.3508,0.0,0.8591,0,0,moderate
DOC-00333,call_center,prime,0.986,0.39,0.3307,1.0,0,0,elevated
DOC-00334,call_center,near_prime,0.6965,0.4136,0.3912,,0,0,low
DOC-00335,branch,prime,0.8674,0.3062,0.2559,,0,0,elevated
DOC-00336,branch,subprime,0.8332,0.3647,0.1495,0.7587,0,0,low
DOC-00337,branch,subprime,0.639,0.5426,0.0752,0.4944,0,0,low
DOC-00338,branch,near_prime,0.991,0.5937,0.1308,,0,0,low
DOC-00339,digital,prime,0.7566,0.3073,0.0,0.8234,0,1,low
DOC-00340,digital,prime,0.7202,0.4079,0.255,0.7738,0,1,low
DOC-00341,digital,prime,0.8464,0.2994,0.388,0.8502,0,0,low
DOC-00342,branch,subprime,0.7904,0.3876,0.5282,,0,0,moderate
DOC-00343,branch,prime,0.7484,0.6106,0.2916,,0,0,low
DOC-00344,call_center,prime,0.751,0.1157,0.0581,0.5085,0,0,low
DOC-00345,digital,near_prime,0.7426,0.2267,0.5011,0.3779,0,0,low
DOC-00346,branch,prime,0.5575,0.4696,0.4361,,0,0,moderate
DOC-00347,digital,subprime,0.9489,0.5598,0.3258,,0,0,moderate
DOC-00348,branch,near_prime,0.9005,0.3819,0.0854,0.5729,0,0,low
DOC-00349,digital,near_prime,0.7545,0.1664,0.2799,0.8514,0,0,low
DOC-00350,call_center,subprime,0.6787,0.248,0.0549,,0,0,low
DOC-00351,call_center,prime,0.8179,0.3009,0.2655,0.9941,0,1,moderate
